date,equipe A,equipe B,Score
2025-06-15,Ahly,Inter Miami,0:0
2025-06-15,Bayern Munich,Auckland,10:0
2025-06-15,PSG,Atlético,4:0
2025-06-16,Palmeiras,Porto,0:0
2025-06-16,Botafogo,Sounders,2:1
2025-06-16,Chelsea,LAFC,2:0
2025-06-17,Boca,Benfica,2:2
2025-06-17,Flamengo,Tunis,2:0
2025-06-17,Fluminense,Dortmund,0:0
2025-06-17,River,Urawa,3:1
2025-06-18,Ulsan,Mamelodi,0:1
2025-06-18,Monterrey,Inter Milan,1:1
2025-06-18,Man City,Wydad AC,2:0
2025-06-18,Real Madrid,Al Hilal,1:1
2025-06-19,Pachuca,Salzbourg,1:2
2025-06-19,Al Ain,Juventus,0:5
2025-06-19,Palmeiras,Ahly,2:0
2025-06-19,Inter Miami,Porto,2:1
2025-06-20,Sounders,Atlético,1:3
2025-06-20,PSG,Botafogo,0:1
2025-06-20,Benfica,Auckland,6:0
2025-06-20,Flamengo,Chelsea,3:1
2025-06-21,LAFC,Tunis,0:1
2025-06-21,Bayern Munich,Boca,2:1
2025-06-21,Mamelodi,Dortmund,3:4
2025-06-21,Inter Milan,Urawa,2:1
2025-06-22,Fluminense,Ulsan,4:2
2025-06-22,River,Monterrey,0:0
2025-06-22,Juventus,Wydad AC,4:1
2025-06-22,Real Madrid,Pachuca,3:1
2025-06-23,Salzbourg,Al Hilal,0:0
2025-06-23,Man City,Al Ain,6:0
2025-06-23,Atlético,Botafogo,1:0
2025-06-23,Sounders,PSG,0:2
2025-06-24,Inter Miami,Palmeiras,2:2
2025-06-24,Porto,Ahly,4:4
2025-06-24,Benfica,Bayern Munich,1:0
2025-06-24,Auckland,Boca,1:1
2025-06-25,LAFC,Flamengo,1:1
2025-06-25,Tunis,Chelsea,0:3
2025-06-25,Dortmund,Ulsan,1:0
2025-06-25,Mamelodi,Fluminense,0:0
2025-06-26,Inter Milan,River,2:0
2025-06-26,Urawa,Monterrey,0:4
2025-06-26,Wydad AC,Al Ain,1:2
2025-06-26,Juventus,Man City,2:5
2025-06-27,Al Hilal,Pachuca,2:0
2025-06-27,Salzbourg,Real Madrid,0:3
2025-06-28,Palmeiras,Botafogo,1:0
2025-06-28,Benfica,Chelsea,1:4
2025-06-29,PSG,Inter Miami,4:0
2025-06-29,Flamengo,Bayern Munich,2:4
2025-06-30,Inter Milan,Fluminense,0:2
2025-06-31,Man City,Al Hilal,3:4
2025-06-31,Real Madrid,Juventus,1:0
2025-07-01,Man City,Al Hilal,3:4
2025-07-01,Real Madrid,Juventus,1:0
2025-07-02,Dortmund,Monterrey,2:1
2025-07-04,Fluminense,Al Hilal,2:1
2025-07-05,Palmeiras,Chelsea,1:2
2025-07-05,PSG,Bayern Munich,2:0
2025-07-05,Real Madrid,Dortmund,3:2
2025-07-08,Fluminense,Chelsea,0:2
2025-07-09,PSG,Real Madrid,4:0
2025-07-13,Chelsea,PSG,3:0
